,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
4047,Punjab,faridkot,2009,kharif,Rice,98000,414000,1,414000,351000,323,359.4
4048,Punjab,faridkot,2010,kharif,Rice,101000,409000,1,414000,414000,252.2,323
4064,Punjab,fatehgarh sahib,2008,kharif,Rice,85000,363000,2,383000,340000,206.1,156
4065,Punjab,fatehgarh sahib,2009,kharif,Rice,86000,391000,2,363000,383000,161.7,206.1
4066,Punjab,fatehgarh sahib,2010,kharif,Rice,87000,366000,2,391000,363000,304.9,161.7
4100,Punjab,gurdaspur,2005,kharif,Rice,190000,590000,2,641000,587000,1116,700.9
4101,Punjab,gurdaspur,2006,kharif,Rice,201000,636000,2,590000,641000,1032.4,1116
4102,Punjab,gurdaspur,2007,kharif,Rice,191000,617000,2,636000,590000,1198.9,1032.4
4103,Punjab,gurdaspur,2008,kharif,Rice,201000,663000,2,617000,636000,1220.4,1198.9
4104,Punjab,gurdaspur,2009,kharif,Rice,204000,640000,2,663000,617000,599.2,1220.4
4105,Punjab,gurdaspur,2010,kharif,Rice,204000,705000,2,640000,663000,918.1,599.2
4118,Punjab,hoshiarpur,2005,kharif,Rice,61000,182000,2,171000,179000,480.2,628.9
4119,Punjab,hoshiarpur,2006,kharif,Rice,56000,157000,2,182000,171000,489.6,480.2
4120,Punjab,hoshiarpur,2007,kharif,Rice,56000,185000,2,157000,182000,621,489.6
4121,Punjab,hoshiarpur,2008,kharif,Rice,60000,209000,2,185000,157000,993.1,621
4122,Punjab,hoshiarpur,2009,kharif,Rice,70000,248000,2,209000,185000,602.1,993.1
4123,Punjab,hoshiarpur,2010,kharif,Rice,73000,261000,2,248000,209000,693.3,602.1
4136,Punjab,jalandhar,2005,kharif,Rice,151000,526000,2,538000,465000,833.9,496.3
4137,Punjab,jalandhar,2006,kharif,Rice,147000,514000,2,526000,538000,576.9,833.9
4138,Punjab,jalandhar,2007,kharif,Rice,149000,554000,2,514000,526000,622.8,576.9
4139,Punjab,jalandhar,2008,kharif,Rice,155000,588000,2,554000,514000,724.7,622.8
4140,Punjab,jalandhar,2009,kharif,Rice,161000,636000,2,588000,554000,615.4,724.7
4141,Punjab,jalandhar,2010,kharif,Rice,163000,588000,2,636000,588000,513.2,615.4
4154,Punjab,kapurthala,2005,kharif,Rice,108000,422000,2,423000,361000,683.8,280.8
4159,Punjab,kapurthala,2010,kharif,Rice,118000,460000,2,452000,428000,440.5,756.5
4172,Punjab,ludhiana,2005,kharif,Rice,250000,1130000,2,1144000,1047000,611.2,463.2
4173,Punjab,ludhiana,2006,kharif,Rice,248000,1084000,2,1130000,1144000,414.1,611.2
4174,Punjab,ludhiana,2007,kharif,Rice,250000,1133000,2,1084000,1130000,474.2,414.1
4175,Punjab,ludhiana,2008,kharif,Rice,254000,1135000,2,1133000,1084000,840.9,474.2
4176,Punjab,ludhiana,2009,kharif,Rice,257000,1206000,2,1135000,1133000,559.8,840.9
4177,Punjab,ludhiana,2010,kharif,Rice,257000,1133000,2,1206000,1135000,563.9,559.8
4208,Punjab,moga,2005,kharif,Rice,167000,735000,1,731000,667000,326.8,108.8
4209,Punjab,moga,2006,kharif,Rice,168000,711000,1,735000,731000,314.3,326.8
4210,Punjab,moga,2007,kharif,Rice,169000,749000,1,711000,735000,283.8,314.3
4211,Punjab,moga,2008,kharif,Rice,174000,800000,1,749000,711000,419.8,283.8
4212,Punjab,moga,2009,kharif,Rice,172000,812000,1,800000,749000,328.8,419.8
4213,Punjab,moga,2010,kharif,Rice,172000,745000,1,812000,800000,407.9,328.8
4230,Punjab,muktsar,2009,kharif,Rice,100000,387000,1,402000,283000,176.9,382.6
4231,Punjab,muktsar,2010,kharif,Rice,111000,432000,1,387000,402000,262.4,176.9
4265,Punjab,patiala,2005,kharif,Rice,252000,996000,1,965000,950000,770.9,815.4
4266,Punjab,patiala,2006,kharif,Rice,237000,989000,1,996000,965000,436.8,770.9
4267,Punjab,patiala,2007,kharif,Rice,234000,999000,1,989000,996000,473.7,436.8
4268,Punjab,patiala,2008,kharif,Rice,238000,1009000,1,999000,989000,1320.4,473.7
4269,Punjab,patiala,2009,kharif,Rice,240000,1021000,1,1009000,999000,516.5,1320.4
4270,Punjab,patiala,2010,kharif,Rice,234000,873000,1,1021000,1009000,798,516.5
4310,Punjab,sangrur,2005,kharif,Rice,367000,1625000,1,1710000,1566000,281.8,292.1
4311,Punjab,sangrur,2006,kharif,Rice,362000,1637000,1,1625000,1710000,334.6,281.8
4312,Punjab,sangrur,2007,kharif,Rice,262000,1207000,1,1637000,1625000,216.5,334.6
4313,Punjab,sangrur,2008,kharif,Rice,267000,1233000,1,1207000,1637000,418.5,216.5
4314,Punjab,sangrur,2009,kharif,Rice,271000,1273000,1,1233000,1207000,324.5,418.5
4315,Punjab,sangrur,2010,kharif,Rice,272000,1185000,1,1273000,1233000,515.8,324.5
4337,Rajasthan,ajmer,2005,kharif,Rice,13,19,1,27,43,498.7,466.7
4338,Rajasthan,ajmer,2006,kharif,Rice,15,24,1,19,27,442.6,498.7
4339,Rajasthan,ajmer,2007,kharif,Rice,6,12,1,24,19,377.6,442.6
4340,Rajasthan,ajmer,2008,kharif,Rice,4,7,1,12,24,492.3,377.6
4341,Rajasthan,ajmer,2009,kharif,Rice,7,11,1,7,12,253.6,492.3
4342,Rajasthan,ajmer,2010,kharif,Rice,9,18,1,11,7,661.7,253.6
4351,Rajasthan,alwar,2005,kharif,Rice,132,193,1,206,265,685.6,428.6
4352,Rajasthan,alwar,2006,kharif,Rice,127,200,1,193,206,448,685.6
4353,Rajasthan,alwar,2007,kharif,Rice,155,315,1,200,193,557.2,448
4354,Rajasthan,alwar,2008,kharif,Rice,265,479,1,315,200,880.9,557.2
4355,Rajasthan,alwar,2009,kharif,Rice,346,524,1,479,315,495.3,880.9
4356,Rajasthan,alwar,2010,kharif,Rice,378,766,1,524,479,820.5,495.3
4365,Rajasthan,banswara,2005,kharif,Rice,33179,21774,1,21080,23750,758.4,1080.2
4366,Rajasthan,banswara,2006,kharif,Rice,33252,18756,1,21774,21080,1801.2,758.4
4367,Rajasthan,banswara,2007,kharif,Rice,35853,46686,1,18756,21774,1243.2,1801.2
4368,Rajasthan,banswara,2008,kharif,Rice,31530,12376,1,46686,18756,488.6,1243.2
4369,Rajasthan,banswara,2009,kharif,Rice,28142,11416,1,12376,46686,725,488.6
4370,Rajasthan,banswara,2010,kharif,Rice,27027,17610,1,11416,12376,604.6,725
4379,Rajasthan,baran,2005,kharif,Rice,2722,6800,1,4552,3616,792,647.3
4380,Rajasthan,baran,2006,kharif,Rice,1838,3571,1,6800,4552,730.7,792
4381,Rajasthan,baran,2007,kharif,Rice,3408,10595,1,3571,6800,561,730.7
4382,Rajasthan,baran,2008,kharif,Rice,6401,20058,1,10595,3571,823.2,561
4383,Rajasthan,baran,2009,kharif,Rice,8298,18491,1,20058,10595,661.4,823.2
4384,Rajasthan,baran,2010,kharif,Rice,8231,23800,1,18491,20058,600.5,661.4
4393,Rajasthan,bharatpur,2005,kharif,Rice,3368,7351,0,1206,2428,698.1,505.7
4394,Rajasthan,bharatpur,2006,kharif,Rice,878,638,0,7351,1206,365.1,698.1
4395,Rajasthan,bharatpur,2007,kharif,Rice,684,1114,0,638,7351,422.3,365.1
4396,Rajasthan,bharatpur,2008,kharif,Rice,2281,2766,0,1114,638,784.4,422.3
4397,Rajasthan,bharatpur,2009,kharif,Rice,1865,3303,0,2766,1114,555.5,784.4
4398,Rajasthan,bharatpur,2010,kharif,Rice,1536,3095,0,3303,2766,751,555.5
4407,Rajasthan,bhilwara,2005,kharif,Rice,288,423,1,358,314,563.5,877.8
4408,Rajasthan,bhilwara,2006,kharif,Rice,207,326,1,423,358,723.3,563.5
4409,Rajasthan,bhilwara,2007,kharif,Rice,247,502,1,326,423,570.7,723.3
4410,Rajasthan,bhilwara,2008,kharif,Rice,278,502,1,502,326,505.3,570.7
4411,Rajasthan,bhilwara,2009,kharif,Rice,430,651,1,502,502,358.6,505.3
4412,Rajasthan,bhilwara,2010,kharif,Rice,392,794,1,651,502,705.8,358.6
4419,Rajasthan,bikaner,2005,kharif,Rice,17,25,1,25,21,267.1,118.2
4420,Rajasthan,bikaner,2006,kharif,Rice,7,11,1,25,25,200.5,267.1
4421,Rajasthan,bikaner,2007,kharif,Rice,1,2,1,11,25,327.6,200.5
4422,Rajasthan,bikaner,2008,kharif,Rice,179,323,1,2,11,338.2,327.6
4423,Rajasthan,bikaner,2009,kharif,Rice,63,95,1,323,2,204.5,338.2
4424,Rajasthan,bikaner,2010,kharif,Rice,37,75,1,95,323,416.1,204.5
4433,Rajasthan,bundi,2005,kharif,Rice,8788,12485,1,11200,14763,562.3,516.1
4434,Rajasthan,bundi,2006,kharif,Rice,9421,16208,1,12485,11200,517.9,562.3
