State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value
Himachal Pradesh,HAMIRPUR,2008,Kharif     ,Rice,1995,2912,1.459649123
Himachal Pradesh,HAMIRPUR,2010,Kharif     ,Rice,1908,2870,1.504192872
Himachal Pradesh,KANGRA,2002,Kharif     ,Rice,37144,34219,0.921252423
Himachal Pradesh,KANGRA,2003,Kharif     ,Rice,37802,56121,1.484603989
Himachal Pradesh,KANGRA,2004,Kharif     ,Rice,37079,48680,1.312872515
Himachal Pradesh,KANGRA,2005,Kharif     ,Rice,36961,50934,1.378047131
Himachal Pradesh,KANGRA,2006,Kharif     ,Rice,38279,54148,1.414561509
Himachal Pradesh,KANGRA,2007,Kharif     ,Rice,37121,53986,1.454325045
Himachal Pradesh,KANGRA,2008,Kharif     ,Rice,36855,55836,1.515018315
Himachal Pradesh,KANGRA,2010,Kharif     ,Rice,37611,59209,1.574246896
Himachal Pradesh,KINNAUR,2002,Kharif     ,Rice,31,32,1.032258065
Himachal Pradesh,KINNAUR,2003,Kharif     ,Rice,27,40,1.481481481
Himachal Pradesh,KINNAUR,2004,Kharif     ,Rice,31,43,1.387096774
Himachal Pradesh,KINNAUR,2005,Kharif     ,Rice,22,31,1.409090909
Himachal Pradesh,KINNAUR,2006,Kharif     ,Rice,28,44,1.571428571
Himachal Pradesh,KINNAUR,2007,Kharif     ,Rice,13,20,1.538461538
Himachal Pradesh,KINNAUR,2008,Kharif     ,Rice,16,24,1.5
Himachal Pradesh,KINNAUR,2010,Kharif     ,Rice,15,25,1.666666667
Himachal Pradesh,KULLU,2002,Kharif     ,Rice,1719,2776,1.614892379
Himachal Pradesh,KULLU,2003,Kharif     ,Rice,1558,2046,1.31322208
Himachal Pradesh,KULLU,2004,Kharif     ,Rice,1546,2571,1.663001294
Himachal Pradesh,KULLU,2005,Kharif     ,Rice,1513,1449,0.957699934
Himachal Pradesh,KULLU,2006,Kharif     ,Rice,1478,1928,1.304465494
Himachal Pradesh,KULLU,2007,Kharif     ,Rice,1469,1984,1.350578625
Himachal Pradesh,KULLU,2008,Kharif     ,Rice,1439,1972,1.370396108
Himachal Pradesh,KULLU,2010,Kharif     ,Rice,1516,1822,1.201846966
Himachal Pradesh,MANDI,2002,Kharif     ,Rice,20942,22461,1.072533664
Himachal Pradesh,MANDI,2003,Kharif     ,Rice,19783,28981,1.464944649
Himachal Pradesh,MANDI,2004,Kharif     ,Rice,20092,25275,1.257963369
Himachal Pradesh,MANDI,2005,Kharif     ,Rice,20276,29167,1.438498718
Himachal Pradesh,MANDI,2006,Kharif     ,Rice,19566,27068,1.383420219
Himachal Pradesh,MANDI,2007,Kharif     ,Rice,19469,25002,1.284195388
Himachal Pradesh,MANDI,2008,Kharif     ,Rice,20171,27410,1.358881563
Himachal Pradesh,MANDI,2010,Kharif     ,Rice,19481,30528,1.567065346
Himachal Pradesh,SHIMLA,2002,Kharif     ,Rice,3087,2636,0.853903466
Himachal Pradesh,SHIMLA,2003,Kharif     ,Rice,2261,2207,0.976116762
Himachal Pradesh,SHIMLA,2004,Kharif     ,Rice,1981,2122,1.071176174
Himachal Pradesh,SHIMLA,2005,Kharif     ,Rice,1810,1966,1.086187845
Himachal Pradesh,SHIMLA,2006,Kharif     ,Rice,1651,1887,1.142943671
Himachal Pradesh,SHIMLA,2007,Kharif     ,Rice,1640,1602,0.976829268
Himachal Pradesh,SHIMLA,2008,Kharif     ,Rice,1214,1209,0.995881384
Himachal Pradesh,SHIMLA,2010,Kharif     ,Rice,1359,1464,1.077262693
Himachal Pradesh,SIRMAUR,2002,Kharif     ,Rice,5270,5278,1.001518027
Himachal Pradesh,SIRMAUR,2003,Kharif     ,Rice,5383,8729,1.621586476
Himachal Pradesh,SIRMAUR,2004,Kharif     ,Rice,5509,7881,1.430568161
Himachal Pradesh,SIRMAUR,2005,Kharif     ,Rice,5435,7223,1.328978841
Himachal Pradesh,SIRMAUR,2006,Kharif     ,Rice,5328,12012,2.254504505
Himachal Pradesh,SIRMAUR,2007,Kharif     ,Rice,5634,12805,2.272807952
Himachal Pradesh,SIRMAUR,2008,Kharif     ,Rice,5730,7778,1.357417103
Himachal Pradesh,SIRMAUR,2010,Kharif     ,Rice,6115,13833,2.262142273
Himachal Pradesh,SOLAN,2002,Kharif     ,Rice,3377,5377,1.592241635
Himachal Pradesh,SOLAN,2003,Kharif     ,Rice,5355,7866,1.468907563
Himachal Pradesh,SOLAN,2004,Kharif     ,Rice,4742,10401,2.193378321
Himachal Pradesh,SOLAN,2005,Kharif     ,Rice,4721,8283,1.754501165
Himachal Pradesh,SOLAN,2006,Kharif     ,Rice,4634,10968,2.36685369
Himachal Pradesh,SOLAN,2007,Kharif     ,Rice,4351,10126,2.327281085
Himachal Pradesh,SOLAN,2008,Kharif     ,Rice,4260,10565,2.480046948
Himachal Pradesh,SOLAN,2010,Kharif     ,Rice,2094,5166,2.467048711
Himachal Pradesh,UNA,2002,Kharif     ,Rice,2744,4205,1.532434402
Himachal Pradesh,UNA,2003,Kharif     ,Rice,2520,4633,1.838492063
Himachal Pradesh,UNA,2004,Kharif     ,Rice,2021,3572,1.76744186
Himachal Pradesh,UNA,2005,Kharif     ,Rice,2019,3311,1.639920753
Himachal Pradesh,UNA,2006,Kharif     ,Rice,1976,4464,2.259109312
Himachal Pradesh,UNA,2007,Kharif     ,Rice,2023,4651,2.299060801
Himachal Pradesh,UNA,2008,Kharif     ,Rice,1803,4029,2.234608985
Himachal Pradesh,UNA,2010,Kharif     ,Rice,1919,5277,2.749869724
Punjab,AMRITSAR,2002,Kharif     ,Rice,311000,879000,2.826366559
Punjab,AMRITSAR,2003,Kharif     ,Rice,326000,872000,2.674846626
Punjab,AMRITSAR,2004,Kharif     ,Rice,334000,1034000,3.095808383
Punjab,AMRITSAR,2005,Kharif     ,Rice,345000,1003000,2.907246377
Punjab,AMRITSAR,2006,Kharif     ,Rice,178000,538000,3.02247191
Punjab,AMRITSAR,2007,Kharif     ,Rice,178000,546000,3.06741573
Punjab,AMRITSAR,2008,Kharif     ,Rice,183000,532000,2.907103825
Punjab,AMRITSAR,2009,Kharif     ,Rice,185000,501000,2.708108108
Punjab,AMRITSAR,2010,Kharif     ,Rice,186000,503000,2.704301075
Punjab,BARNALA,2007,Kharif     ,Rice,99000,466000,4.707070707
Punjab,BARNALA,2008,Kharif     ,Rice,102000,485000,4.754901961
Punjab,BARNALA,2009,Kharif     ,Rice,104000,496000,4.769230769
Punjab,BARNALA,2010,Kharif     ,Rice,105000,465000,4.428571429
Punjab,BATHINDA,2002,Kharif     ,Rice,107000,367000,3.429906542
Punjab,BATHINDA,2003,Kharif     ,Rice,105000,419000,3.99047619
Punjab,BATHINDA,2004,Kharif     ,Rice,102000,415000,4.068627451
Punjab,BATHINDA,2005,Kharif     ,Rice,95000,385000,4.052631579
Punjab,BATHINDA,2006,Kharif     ,Rice,87000,358000,4.114942529
Punjab,BATHINDA,2007,Kharif     ,Rice,86000,368000,4.279069767
Punjab,BATHINDA,2008,Kharif     ,Rice,97000,427000,4.402061856
Punjab,BATHINDA,2009,Kharif     ,Rice,104000,476000,4.576923077
Punjab,BATHINDA,2010,Kharif     ,Rice,107000,437000,4.08411215
Punjab,FARIDKOT,2002,Kharif     ,Rice,86000,280000,3.255813953
Punjab,FARIDKOT,2003,Kharif     ,Rice,84000,308000,3.666666667
Punjab,FARIDKOT,2004,Kharif     ,Rice,88000,337000,3.829545455
Punjab,FARIDKOT,2005,Kharif     ,Rice,86000,339000,3.941860465
Punjab,FARIDKOT,2006,Kharif     ,Rice,85000,338000,3.976470588
Punjab,FARIDKOT,2007,Kharif     ,Rice,87000,351000,4.034482759
Punjab,FARIDKOT,2008,Kharif     ,Rice,95000,414000,4.357894737
Punjab,FARIDKOT,2009,Kharif     ,Rice,98000,414000,4.224489796
Punjab,FARIDKOT,2010,Kharif     ,Rice,101000,409000,4.04950495
Punjab,GURDASPUR,2002,Kharif     ,Rice,189000,547000,2.894179894
Punjab,GURDASPUR,2003,Kharif     ,Rice,193000,587000,3.041450777
Punjab,GURDASPUR,2004,Kharif     ,Rice,202000,641000,3.173267327
Punjab,GURDASPUR,2005,Kharif     ,Rice,190000,590000,3.105263158
Punjab,GURDASPUR,2006,Kharif     ,Rice,201000,636000,3.164179104
Punjab,GURDASPUR,2007,Kharif     ,Rice,191000,617000,3.230366492
Punjab,GURDASPUR,2008,Kharif     ,Rice,201000,663000,3.298507463
Punjab,GURDASPUR,2009,Kharif     ,Rice,204000,640000,3.137254902
Punjab,GURDASPUR,2010,Kharif     ,Rice,204000,705000,3.455882353
Punjab,HOSHIARPUR,2002,Kharif     ,Rice,56000,159000,2.839285714
Punjab,HOSHIARPUR,2003,Kharif     ,Rice,58000,179000,3.086206897
Punjab,HOSHIARPUR,2004,Kharif     ,Rice,58000,171000,2.948275862
Punjab,HOSHIARPUR,2005,Kharif     ,Rice,61000,182000,2.983606557
Punjab,HOSHIARPUR,2006,Kharif     ,Rice,56000,157000,2.803571429
Punjab,HOSHIARPUR,2007,Kharif     ,Rice,56000,185000,3.303571429
Punjab,HOSHIARPUR,2008,Kharif     ,Rice,60000,209000,3.483333333
Punjab,HOSHIARPUR,2009,Kharif     ,Rice,70000,248000,3.542857143
Punjab,HOSHIARPUR,2010,Kharif     ,Rice,73000,261000,3.575342466
Punjab,JALANDHAR,2002,Kharif     ,Rice,133000,495000,3.721804511
Punjab,JALANDHAR,2003,Kharif     ,Rice,138000,465000,3.369565217
Punjab,JALANDHAR,2004,Kharif     ,Rice,145000,538000,3.710344828
Punjab,JALANDHAR,2005,Kharif     ,Rice,151000,526000,3.483443709
Punjab,JALANDHAR,2006,Kharif     ,Rice,147000,514000,3.496598639
Punjab,JALANDHAR,2007,Kharif     ,Rice,149000,554000,3.718120805
Punjab,JALANDHAR,2008,Kharif     ,Rice,155000,588000,3.793548387
Punjab,JALANDHAR,2009,Kharif     ,Rice,161000,636000,3.950310559
Punjab,JALANDHAR,2010,Kharif     ,Rice,163000,588000,3.607361963
Punjab,KAPURTHALA,2002,Kharif     ,Rice,102000,362000,3.549019608
Punjab,KAPURTHALA,2003,Kharif     ,Rice,104000,361000,3.471153846
Punjab,KAPURTHALA,2004,Kharif     ,Rice,105000,423000,4.028571429
Punjab,KAPURTHALA,2005,Kharif     ,Rice,108000,422000,3.907407407
Punjab,KAPURTHALA,2006,Kharif     ,Rice,110000,414000,3.763636364
Punjab,KAPURTHALA,2007,Kharif     ,Rice,110000,428000,3.890909091
Punjab,KAPURTHALA,2008,Kharif     ,Rice,114000,428000,3.754385965
Punjab,KAPURTHALA,2009,Kharif     ,Rice,115000,452000,3.930434783
Punjab,KAPURTHALA,2010,Kharif     ,Rice,118000,460000,3.898305085
Punjab,LUDHIANA,2002,Kharif     ,Rice,236000,1020000,4.322033898
Punjab,LUDHIANA,2003,Kharif     ,Rice,241000,1047000,4.34439834
Punjab,LUDHIANA,2004,Kharif     ,Rice,400000,1144000,2.86
Punjab,LUDHIANA,2005,Kharif     ,Rice,250000,1130000,4.52
Punjab,LUDHIANA,2006,Kharif     ,Rice,248000,1084000,4.370967742
Punjab,LUDHIANA,2007,Kharif     ,Rice,250000,1133000,4.532
Punjab,LUDHIANA,2008,Kharif     ,Rice,254000,1135000,4.468503937
Punjab,LUDHIANA,2009,Kharif     ,Rice,257000,1206000,4.692607004
Punjab,LUDHIANA,2010,Kharif     ,Rice,257000,1133000,4.408560311
Punjab,PATIALA,2002,Kharif     ,Rice,237000,818000,3.451476793
Punjab,PATIALA,2003,Kharif     ,Rice,246000,950000,3.861788618
Punjab,PATIALA,2004,Kharif     ,Rice,250000,965000,3.86
Punjab,PATIALA,2005,Kharif     ,Rice,252000,996000,3.952380952
Punjab,PATIALA,2006,Kharif     ,Rice,237000,989000,4.172995781
Punjab,PATIALA,2007,Kharif     ,Rice,234000,999000,4.269230769
Punjab,PATIALA,2008,Kharif     ,Rice,238000,1009000,4.239495798
Punjab,PATIALA,2009,Kharif     ,Rice,240000,1021000,4.254166667
Punjab,PATIALA,2010,Kharif     ,Rice,234000,873000,3.730769231
Punjab,RUPNAGAR,2002,Kharif     ,Rice,44000,141000,3.204545455
Punjab,RUPNAGAR,2003,Kharif     ,Rice,51000,170000,3.333333333
Punjab,RUPNAGAR,2004,Kharif     ,Rice,51000,176000,3.450980392
Punjab,RUPNAGAR,2005,Kharif     ,Rice,53000,183000,3.452830189
Punjab,RUPNAGAR,2006,Kharif     ,Rice,38000,138000,3.631578947
Punjab,RUPNAGAR,2007,Kharif     ,Rice,33000,122000,3.696969697
Punjab,RUPNAGAR,2008,Kharif     ,Rice,36000,139000,3.861111111
Punjab,RUPNAGAR,2009,Kharif     ,Rice,38000,135000,3.552631579
Punjab,RUPNAGAR,2010,Kharif     ,Rice,38000,147000,3.868421053
Punjab,S.A.S NAGAR,2006,Kharif     ,Rice,29000,82000,2.827586207
Punjab,S.A.S NAGAR,2007,Kharif     ,Rice,29000,103000,3.551724138
Punjab,S.A.S NAGAR,2008,Kharif     ,Rice,27000,88000,3.259259259
Punjab,S.A.S NAGAR,2009,Kharif     ,Rice,30000,98000,3.266666667
Punjab,S.A.S NAGAR,2010,Kharif     ,Rice,37000,127000,3.432432432
Punjab,SANGRUR,2002,Kharif     ,Rice,352000,1429000,4.059659091
Punjab,SANGRUR,2003,Kharif     ,Rice,366000,1566000,4.278688525
Punjab,SANGRUR,2004,Kharif     ,Rice,367000,1710000,4.659400545
Punjab,SANGRUR,2005,Kharif     ,Rice,367000,1625000,4.427792916
Punjab,SANGRUR,2006,Kharif     ,Rice,362000,1637000,4.522099448
Punjab,SANGRUR,2007,Kharif     ,Rice,262000,1207000,4.606870229
Punjab,SANGRUR,2008,Kharif     ,Rice,267000,1233000,4.617977528
Punjab,SANGRUR,2009,Kharif     ,Rice,271000,1273000,4.697416974
Punjab,SANGRUR,2010,Kharif     ,Rice,272000,1185000,4.356617647
Punjab,TARN TARAN,2006,Kharif     ,Rice,173000,514000,2.971098266
Punjab,TARN TARAN,2007,Kharif     ,Rice,171000,539000,3.152046784
