,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
126,Haryana,rohtak,2008,kharif,Rice,38439,48000.0,1.248731757,52000.0,37000.0
127,Haryana,rohtak,2009,kharif,Rice,35056,50000.0,1.426289366,48000.0,52000.0
128,Haryana,rohtak,2010,kharif,Rice,39340,59000.0,1.499745806,50000.0,48000.0
131,Haryana,sirsa,2004,kharif,Rice,45729,157000.0,3.433269916,156000.0,145000.0
132,Haryana,sirsa,2005,kharif,Rice,46036,166000.0,3.605873664,157000.0,156000.0
133,Haryana,sirsa,2006,kharif,Rice,46453,175000.0,3.767248617,166000.0,157000.0
134,Haryana,sirsa,2007,kharif,Rice,48268,189000.0,3.91563769,175000.0,166000.0
135,Haryana,sirsa,2008,kharif,Rice,57477,196000.0,3.410059676,189000.0,175000.0
136,Haryana,sirsa,2009,kharif,Rice,61374,204000.0,3.323883078,196000.0,189000.0
137,Haryana,sirsa,2010,kharif,Rice,61372,195000.0,3.177344717,204000.0,196000.0
140,Haryana,sonipat,2004,kharif,Rice,65954,124000.0,1.88009825,149000.0,96000.0
141,Haryana,sonipat,2005,kharif,Rice,71450,167000.0,2.33729881,124000.0,149000.0
142,Haryana,sonipat,2006,kharif,Rice,67865,178000.0,2.622854196,167000.0,124000.0
143,Haryana,sonipat,2007,kharif,Rice,71325,192000.0,2.69190326,178000.0,167000.0
144,Haryana,sonipat,2008,kharif,Rice,92641,186000.0,2.007750348,192000.0,178000.0
145,Haryana,sonipat,2009,kharif,Rice,90214,219000.0,2.427561132,186000.0,192000.0
146,Haryana,sonipat,2010,kharif,Rice,93752,202000.0,2.154620701,219000.0,186000.0
149,Haryana,yamunanagar,2004,kharif,Rice,58720,191000.0,3.252724796,172000.0,151000.0
150,Haryana,yamunanagar,2005,kharif,Rice,59276,200000.0,3.374046832,191000.0,172000.0
151,Haryana,yamunanagar,2006,kharif,Rice,59379,213000.0,3.587126762,200000.0,191000.0
152,Haryana,yamunanagar,2007,kharif,Rice,59305,227000.0,3.827670517,213000.0,200000.0
153,Haryana,yamunanagar,2008,kharif,Rice,71634,221000.0,3.085127174,227000.0,213000.0
